A	?\"a:
herbergten	h\"E6.bE6k.t@n
herbergtest	h\"E6.bE6k.t@st
herbergtet	h\"E6.bE6k.t@t
herbes	h\"E6.b@s
herbst	h\"E6pst
herbste	h\"E6ps.t@
herbstem	h\"E6ps.t@m
herbsten	h\"E6ps.t@n
herbster	h\"E6ps.t6
herbstes	h\"E6ps.t@s
herdenweise	h\"e:6.d@n.v%aI.z@
hereditär	hE.re:.di:.t\"E:6
herein	hE.r\"aIn
hereinregnen	hE.r\"aIn.r%e:.kn@n
hereinschicken	hE.r\"aIn.S%I.k@n
hereinschreiben	hE.r\"aIn.Sr%aI.b@n
hereinsehen	hE.r\"aIn.z%e:.@n
hereintragen	hE.r\"aIn.tr%a:.g@n
hergebrachtermaßen	h\"e:6.g@.br%ax.t6.m%a:.s@n
hergelaufen	h\"e:6.g@.l%aU.f@n
herinnen	hE.r\"I.n@n
herkulisch	hE6.k\"u:.lIS
herkömmlich	h\"e:6.k9m.lIC
hermeneutisch	hE6.me:.n\"OY.tIS
hermeneutische	hE6.me:.n\"OY.tI.S@
hermeneutischem	hE6.me:.n\"OY.tI.S@m
hermeneutischen	hE6.me:.n\"OY.tI.S@n
hermeneutischer	hE6.me:.n\"OY.tI.S6
hermeneutisches	hE6.me:.n\"OY.tI.S@s
hermetisch	hE6.m\"e:.tIS
hermetische	hE6.m\"e:.tI.S@
hermetischem	hE6.m\"e:.tI.S@m
hermetischen	hE6.m\"e:.tI.S@n
hermetischer	hE6.m\"e:.tI.S6
hermetisches	hE6.m\"e:.tI.S@s
hernach	hE6.n\"a:x
hernieder	hE6.n\"i:.d6
heroben	hE.r\"o:.b@n
heroisch	he:.r\"o:.IS
heroische	he:.r\"o:.I.S@
heroischem	he:.r\"o:.I.S@m
heroischen	he:.r\"o:.I.S@n
heroischer	he:.r\"o:.I.S6
heroisches	he:.r\"o:.I.S@s
heroisiere	he:.ro:.?i:.z\"i:.r@
heroisieren	he:.ro:.?i:.z\"i:.r@n
heroisierend	he:.ro:.?i:.z\"i:.r@nt
heroisierest	he:.ro:.?i:.z\"i:.r@st
heroisieret	he:.ro:.?i:.z\"i:.r@t
heroisierst	he:.ro:.?i:.z\"i:6st
heroisiert	he:.ro:.?i:.z\"i:6t
heroisierte	he:.ro:.?i:.z\"i:6.t@
heroisierten	he:.ro:.?i:.z\"i:6.t@n
heroisiertest	he:.ro:.?i:.z\"i:6.t@st
heroisiertet	he:.ro:.?i:.z\"i:6.t@t
herostratisch	he:.ro:.str\"a:.tIS
herostratische	he:.ro:.str\"a:.tI.S@
herostratischem	he:.ro:.str\"a:.tI.S@m
herostratischen	he:.ro:.str\"a:.tI.S@n
herostratischer	he:.ro:.str\"a:.tI.S6
herostratisches	he:.ro:.str\"a:.tI.S@s
herrje	hE6.j\"e:
herrschbegierig	h\"E6S.b@.g%i:.rIC
herrschbegierige	h\"E6S.b@.g%i:.rI.g@
herrschbegierigem	h\"E6S.b@.g%i:.rI.g@m
herrschbegierigen	h\"E6S.b@.g%i:.rI.g@n
herrschbegieriger	h\"E6S.b@.g%i:.rI.g6
herrschbegierigere	h\"E6S.b@.g%i:.rI.g@.r@
herrschbegierigerem	h\"E6S.b@.g%i:.rI.g@.r@m
herrschbegierigeren	h\"E6S.b@.g%i:.rI.g@.r@n
herrschbegierigerer	h\"E6S.b@.g%i:.rI.g@.r6
herrschbegierigeres	h\"E6S.b@.g%i:.rI.g@.r@s
herrschbegieriges	h\"E6S.b@.g%i:.rI.g@s
herrschbegierigst	h\"E6S.b@.g%i:.rICst
herrschbegierigste	h\"E6S.b@.g%i:.rICs.t@
herrschbegierigstem	h\"E6S.b@.g%i:.rICs.t@m
herrschbegierigsten	h\"E6S.b@.g%i:.rICs.t@n
herrschbegierigster	h\"E6S.b@.g%i:.rICs.t6
herrschbegierigstes	h\"E6S.b@.g%i:.rICs.t@s
herrsche	h\"E6.S@
herrschen	h\"E6.S@n
herrschend	h\"E6.S@nt
herrschende	h\"E6.S@n.d@
herrschendem	h\"E6.S@n.d@m
herrschenden	h\"E6.S@n.d@n
herrschender	h\"E6.S@n.d6
herrschendere	h\"E6.S@n.d@.r@
herrschenderem	h\"E6.S@n.d@.r@m
herrschenderen	h\"E6.S@n.d@.r@n
herrschenderer	h\"E6.S@n.d@.r6
herrschenderes	h\"E6.S@n.d@.r@s
herrschendes	h\"E6.S@n.d@s
herrschendst	h\"E6.S@ntst
herrschendste	h\"E6.S@nts.t@
herrschendstem	h\"E6.S@nts.t@m
herrschendsten	h\"E6.S@nts.t@n
herrschendster	h\"E6.S@nts.t6
herrschendstes	h\"E6.S@nts.t@s
herrschest	h\"E6.S@st
herrschet	h\"E6.S@t
herrschst	h\"E6Sst
herrschsüchtig	h\"E6S.z%YC.tIC
herrscht	h\"E6St
herrschte	h\"E6.St@
herrschten	h\"E6.St@n
herrschtest	h\"E6.St@st
herrschtet	h\"E6.St@t
hersein	h\"e:6.zaIn
herum	hE.r\"Um
herumexperimentieren	hE.r\"u:m.?Eks.pe:.ri:.mEn.t%i:.r@n
herumfliegen	hE.r\"Um.fl%i:.g@n
herumgehen	hE.r\"Um.g%e:.@n
herumirren	hE.r\"u:m.?%I.r@n
herumreisen	hE.r\"Um.r%aI.z@n
herumsein	hE.r\"Um.z%aIn
herumspielen	hE.r\"Um.Sp%i:.l@n
herumtollen	hE.r\"Um.t%O.l@n
herumwickeln	hE.r\"Um.v%I.k@ln
herumwühlen	hE.r\"Um.v%y:.l@n
herunten	hE.r\"Un.t@n
herunter	hE.r\"Un.t6
herunterdrücken	hE.r\"Un.t6.dr%Y.k@n
herunterfahren	hE.r\"Un.t6.f%a:.r@n
herunterfliegen	hE.r\"Un.t6.fl%i:.g@n
herunterhandeln	hE.r\"Un.t6.h%an.d@ln
herunterlasse	hE.r\"Un.t6.l%a.s@
herunterlassen	hE.r\"Un.t6.l%a.s@n
herunterlassend	hE.r\"Un.t6.l%a.s@nt
herunterlassest	hE.r\"Un.t6.l%a.s@st
herunterlasset	hE.r\"Un.t6.l%a.s@t
herunterlasst	hE.r\"Un.t6.l%ast
herunternehmen	hE.r\"Un.t6.n%e:.m@n
herunterschreiben	hE.r\"Un.t6.Sr%aI.b@n
heruntersein	hE.r\"Un.t6.z%aIn
herunterspiele	hE.r\"Un.t6.Sp%i:.l@
herunterspielen	hE.r\"Un.t6.Sp%i:.l@n
herunterspielend	hE.r\"Un.t6.Sp%i:.l@nt
herunterspielest	hE.r\"Un.t6.Sp%i:.l@st
herunterspielet	hE.r\"Un.t6.Sp%i:.l@t
herunterspielst	hE.r\"Un.t6.Sp%i:lst
herunterspielt	hE.r\"Un.t6.Sp%i:lt
herunterspielte	hE.r\"Un.t6.Sp%i:l.t@
herunterspielten	hE.r\"Un.t6.Sp%i:l.t@n
herunterspieltest	hE.r\"Un.t6.Sp%i:l.t@st
herunterspieltet	hE.r\"Un.t6.Sp%i:l.t@t
herunterwerfen	hE.r\"Un.t6.v%E6.f@n
hervor	hE6.f\"o:6
hervorkehre	hE6.f\"o:6.k%e:.r@
hervorkehren	hE6.f\"o:6.k%e:.r@n
hervorkehrend	hE6.f\"o:6.k%e:.r@nt
hervorkehrest	hE6.f\"o:6.k%e:.r@st
hervorkehret	hE6.f\"o:6.k%e:.r@t
hervorkehrst	hE6.f\"o:6.k%e:6st
hervorkehrt	hE6.f\"o:6.k%e:6t
hervorkehrte	hE6.f\"o:6.k%e:6.t@
hervorkehrten	hE6.f\"o:6.k%e:6.t@n
hervorkehrtest	hE6.f\"o:6.k%e:6.t@st
hervorkehrtet	hE6.f\"o:6.k%e:6.t@t
hervorstechend	hE6.f\"o:6.St%E.C@nt
herwärts	h\"e:6.vE6ts
herzensgut	h\"E6.ts@ns.g%u:t
herzensgute	h\"E6.ts@ns.g%u:.t@
herzensgutem	h\"E6.ts@ns.g%u:.t@m
herzensguten	h\"E6.ts@ns.g%u:.t@n
herzensguter	h\"E6.ts@ns.g%u:.t6
herzensgutes	h\"E6.ts@ns.g%u:.t@s
herzerfreuend	h\"E6ts.?E6.fr%OY.@nt
herzerfreuende	h\"E6ts.?E6.fr%OY.@n.d@
herzerfreuendem	h\"E6ts.?E6.fr%OY.@n.d@m
herzerfreuenden	h\"E6ts.?E6.fr%OY.@n.d@n
herzerfreuender	h\"E6ts.?E6.fr%OY.@n.d6
herzerfreuendes	h\"E6ts.?E6.fr%OY.@n.d@s
herzergreifend	h\"E6ts.?E6.gr%aI.f@nt
herzergreifende	h\"E6ts.?E6.gr%aI.f@n.d@
herzergreifendem	h\"E6ts.?E6.gr%aI.f@n.d@m
herzergreifenden	h\"E6ts.?E6.gr%aI.f@n.d@n
herzergreifender	h\"E6ts.?E6.gr%aI.f@n.d6
herzergreifendere	h\"E6ts.?E6.gr%aI.f@n.d@.r@
herzergreifenderem	h\"E6ts.?E6.gr%aI.f@n.d@.r@m
herzergreifenderen	h\"E6ts.?E6.gr%aI.f@n.d@.r@n
herzergreifenderer	h\"E6ts.?E6.gr%aI.f@n.d@.r6
herzergreifenderes	h\"E6ts.?E6.gr%aI.f@n.d@.r@s
herzergreifendes	h\"E6ts.?E6.gr%aI.f@n.d@s
herzergreifendst	h\"E6ts.?E6.gr%aI.f@ntst
herzergreifendste	h\"E6ts.?E6.gr%aI.f@nts.t@
herzergreifendstem	h\"E6ts.?E6.gr%aI.f@nts.t@m
herzergreifendsten	h\"E6ts.?E6.gr%aI.f@nts.t@n
herzergreifendster	h\"E6ts.?E6.gr%aI.f@nts.t6
herzergreifendstes	h\"E6ts.?E6.gr%aI.f@nts.t@s
herzlich	h\"E6ts.lIC
herzliche	h\"E6ts.lI.C@
herzlichem	h\"E6ts.lI.C@m
herzlichen	h\"E6ts.lI.C@n
herzlicher	h\"E6ts.lI.C6
herzlichere	h\"E6ts.lI.C@.r@
herzlicherem	h\"E6ts.lI.C@.r@m
herzlicheren	h\"E6ts.lI.C@.r@n
herzlicherer	h\"E6ts.lI.C@.r6
herzlicheres	h\"E6ts.lI.C@.r@s
herzliches	h\"E6ts.lI.C@s
herzlichst	h\"E6ts.lICst
herzlichste	h\"E6ts.lICs.t@
herzlichstem	h\"E6ts.lICs.t@m
herzlichsten	h\"E6ts.lICs.t@n
herzlichster	h\"E6ts.lICs.t6
herzlichstes	h\"E6ts.lICs.t@s
herzstärkend	h\"E6ts.St%E6.k@nt
herzu	hE6.ts\"u:
herzynisch	hE6.ts\"y:.nIS
herüben	hE.r\"y:.b@n
herüber	hE.r\"y:.b6
herüberblicken	hE.r\"y:.b6.bl%I.k@n
herüberbringen	hE.r\"y:.b6.br%I.N@n
herüberfahren	hE.r\"y:.b6.f%a:.r@n
herüberführen	hE.r\"y:.b6.f%y:.r@n
herübergehen	hE.r\"y:.b6.g%e:.@n
herüberklettern	hE.r\"y:.b6.kl%E.t6n
herüberkommen	hE.r\"y:.b6.k%O.m@n
herüberlaufen	hE.r\"y:.b6.l%aU.f@n
herüberreichen	hE.r\"y:.b6.r%aI.C@n
herüberziehen	hE.r\"y:.b6.ts%i:.@n
hesperisch	hEs.p\"e:.rIS
hessisch	h\"E.sIS
hessische	h\"E.sI.S@
hessischem	h\"E.sI.S@m
hessischen	h\"E.sI.S@n
hessischer	h\"E.sI.S6
hessischere	h\"E.sI.S@.r@
hessischerem	h\"E.sI.S@.r@m
hessischeren	h\"E.sI.S@.r@n
hessischerer	h\"E.sI.S@.r6
hessischeres	h\"E.sI.S@.r@s
hessisches	h\"E.sI.S@s
hessischst	h\"E.sISst
hessischste	h\"E.sISs.t@
hessischstem	h\"E.sISs.t@m
hessischsten	h\"E.sISs.t@n
hessischster	h\"E.sISs.t6
hessischstes	h\"E.sISs.t@s
heterogen	he:.te:.ro:.g\"e:n
heterogene	he:.te:.ro:.g\"e:.n@
heterogenem	he:.te:.ro:.g\"e:.n@m
heterogenen	he:.te:.ro:.g\"e:.n@n
heterogener	he:.te:.ro:.g\"e:.n6
heterogenere	he:.te:.ro:.g\"e:.n@.r@
heterogenerem	he:.te:.ro:.g\"e:.n@.r@m
heterogeneren	he:.te:.ro:.g\"e:.n@.r@n
heterogenerer	he:.te:.ro:.g\"e:.n@.r6
heterogeneres	he:.te:.ro:.g\"e:.n@.r@s
heterogenes	he:.te:.ro:.g\"e:.n@s
heterogenst	he:.te:.ro:.g\"e:nst
heterogenste	he:.te:.ro:.g\"e:ns.t@
heterogenstem	he:.te:.ro:.g\"e:ns.t@m
heterogensten	he:.te:.ro:.g\"e:ns.t@n
heterogenster	he:.te:.ro:.g\"e:ns.t6
heterogenstes	he:.te:.ro:.g\"e:ns.t@s
heteromorph	he:.te:.ro:.m\"O6f
heteronom	he:.te:.ro:.n\"o:m
heterosexuell	he:.te:.ro:.zEk.su:.\"El
heterosexuelle	he:.te:.ro:.zEk.su:.\"E.l@
heterosexuellem	he:.te:.ro:.zEk.su:.\"E.l@m
heterosexuellen	he:.te:.ro:.zEk.su:.\"E.l@n
heterosexueller	he:.te:.ro:.zEk.su:.\"E.l6
heterosexuelles	he:.te:.ro:.zEk.su:.\"E.l@s
heterotroph	he:.te:.ro:.tr\"o:f
heterox	he:.te:.ro:.d\"Oks
heterozygot	h\"e:.te:.ro:.tsy:.g\"o:t
heterozygote	h\"e:.te:.ro:.tsy:.g\"o:.t@
heterozygotem	h\"e:.te:.ro:.tsy:.g\"o:.t@m
heterozygoten	h\"e:.te:.ro:.tsy:.g\"o:.t@n
heterozygoter	h\"e:.te:.ro:.tsy:.g\"o:.t6
heterozygotes	h\"e:.te:.ro:.tsy:.g\"o:.t@s
hetze	h\"E.ts@
hetzen	h\"E.ts@n
hetzend	h\"E.ts@nt
hetzest	h\"E.ts@st
hetzet	h\"E.ts@t
hetzt	h\"Etst
hetzte	h\"Ets.t@
hetzten	h\"Ets.t@n
hetztest	h\"Ets.t@st
hetztet	h\"Ets.t@t
heucheln	h\"OY.C@ln
heuchelnd	h\"OY.C@lnt
heuchelst	h\"OY.C@lst
heuchelt	h\"OY.C@lt
heuchelte	h\"OY.C@l.t@
heuchelten	h\"OY.C@l.t@n
heucheltest	h\"OY.C@l.t@st
heucheltet	h\"OY.C@l.t@t
heuchle	h\"OYC.l@
heule	h\"OY.l@
heulen	h\"OY.l@n
heulend	h\"OY.l@nt
heulest	h\"OY.l@st
heulet	h\"OY.l@t
heulst	h\"OYlst
heult	h\"OYlt
heulte	h\"OYl.t@
heulten	h\"OYl.t@n
heultest	h\"OYl.t@st
heultet	h\"OYl.t@t
heureka	h\"OY.re:.ka:
heurig	h\"OY.rIC
heuristisch	hOY.r\"Is.tIS
heuristische	hOY.r\"Is.tI.S@
heuristischem	hOY.r\"Is.tI.S@m
heuristischen	hOY.r\"Is.tI.S@n
heuristischer	hOY.r\"Is.tI.S6
heuristisches	hOY.r\"Is.tI.S@s
heut	h\"OYt
heute	h\"OY.t@
heuten	h\"OY.t@n
heutest	h\"OY.t%Est
heutig	h\"OY.tIC
heutige	h\"OY.tI.g@
heutigem	h\"OY.tI.g@m
heutigen	h\"OY.tI.g@n
heutigentags	h\"OY.ti:.g@n.t%a:ks
heutiger	h\"OY.tI.g6
heutiges	h\"OY.tI.g@s
heutzutage	h\"OYt.tsu:.t%a:.g@
hexaedrisch	hEk.sa.?\"e:.drIS
hexagonal	hEk.sa.go:.n\"a:l
hexametrisch	hEk.sa.m\"e:.trIS
hexe	h\"Ek.s@
hexen	h\"Ek.s@n
hexend	h\"Ek.s@nt
hexest	h\"Ek.s@st
hexet	h\"Ek.s@t
hext	h\"Ekst
hexte	h\"Eks.t@
hexten	h\"Eks.t@n
hextest	h\"Eks.t@st
hextet	h\"Eks.t@t
hielt	h\"i:lt
hielte	h\"i:l.t@
hielten	h\"i:l.t@n
hieltest	h\"i:l.t@st
hieltet	h\"i:l.t@t
hieltst	h\"i:ltst
hier	h\"i:6
hieran	hi:.r\"an
hierarchisch	hi:.e:.r\"a6.CIS
hierarchische	hi:.e:.r\"a6.CI.S@
hierarchischem	hi:.e:.r\"a6.CI.S@m
hierarchischen	hi:.e:.r\"a6.CI.S@n
hierarchischer	hi:.e:.r\"a6.CI.S6
hierarchisches	hi:.e:.r\"a6.CI.S@s
hieratisch	hi:.r\"a:.tIS
hierauf	hi:.r\"aUf
hieraus	hi:.r\"aUs
hierbei	hi:6.b\"aI
hierdurch	h\"i:6.d%U6C
hierhergehören	hi:6.h\"e:6.g@.h%2:.r@n
hierhergehörig	hi:6.h\"e:6.g@.h%2:.rIC
hierherkomme	hi:6.h\"e:6.k%O.m@
hierherkommen	hi:6.h\"e:6.k%O.m@n
hierherkommend	hi:6.h\"e:6.k%O.m@nt
hierherkommest	hi:6.h\"e:6.k%O.m@st
hierherkommet	hi:6.h\"e:6.k%O.m@t
hierherkommst	hi:6.h\"e:6.k%Omst
hierherkommt	hi:6.h\"e:6.k%Omt
hierherum	hi:6.hE.r\"Um
hierherziehen	hi:6.h\"e:6.ts%i:.@n
hierhin	hi:6.h\"In
hierhinauf	h\"i:6.hI.n%aUf
hierhinaus	h\"i:6.hI.n%aUs
hierin	h\"i:.rIn
hiernach	hi:6.n\"a:x
hierneben	hi:6.n\"e:.b@n
hiersein	h\"i:6.z%aIn
hierselbst	hi:6.z\"Elpst
hierunter	hi:.r\"Un.t6
hiervon	hi:6.f\"On
hiervor	hi:6.f\"o:6
hierwider	hi:6.v\"i:.d6
hierzwischen	hi:6.tsv\"I.S@n
hierüber	hi:.r\"y:.b6
hiesig	h\"i:.zIC
hiesige	h\"i:.zI.g@
hiesigem	h\"i:.zI.g@m
hiesigen	h\"i:.zI.g@n
hiesiger	h\"i:.zI.g6
hiesiges	h\"i:.zI.g@s
hiesst	h\"i:st
hieve	h\"i:.f@
hieven	h\"i:.f@n
hievend	h\"i:.f@nt
hievest	h\"i:.f@st
hievet	h\"i:.f@t
hievst	h\"i:fst
hievt	h\"i:ft
hievte	h\"i:f.t@
hievten	h\"i:f.t@n
hievtest	h\"i:f.t@st
hievtet	h\"i:f.t@t
hieß	h\"i:s
hieße	h\"i:.s@
hießen	h\"i:.s@n
high	h\"aI
hihi	hi:.h\"i:
hilf	h\"Ilf
hilferufend	h\"Il.f@.r%u:.f@nt
hilferufende	h\"Il.f@.r%u:.f@n.d@
hilferufendem	h\"Il.f@.r%u:.f@n.d@m
hilferufenden	h\"Il.f@.r%u:.f@n.d@n
hilferufender	h\"Il.f@.r%u:.f@n.d6
hilferufendes	h\"Il.f@.r%u:.f@n.d@s
hilflos	h\"Ilf.l%o:s
hilflose	h\"Ilf.l%o:.z@
hilflosem	h\"Ilf.l%o:.z@m
hilflosen	h\"Ilf.l%o:.z@n
hilfloser	h\"Ilf.l%o:.z6
hilflosere	h\"Ilf.l%o:.z@.r@
hilfloserem	h\"Ilf.l%o:.z@.r@m
hilfloseren	h\"Ilf.l%o:.z@.r@n
hilfloserer	h\"Ilf.l%o:.z@.r6
hilfloseres	h\"Ilf.l%o:.z@.r@s
hilfloses	h\"Ilf.l%o:.z@s
hilflosest	h\"Ilf.l%o:.s@st
hilfloseste	h\"Ilf.l%o:.s@s.t@
hilflosestem	h\"Ilf.l%o:.s@s.t@m
hilflosesten	h\"Ilf.l%o:.s@s.t@n
hilflosester	h\"Ilf.l%o:.s@s.t6
hilflosestes	h\"Ilf.l%o:.s@s.t@s
hilfreich	h\"Ilf.r%aIC
hilfreiche	h\"Ilf.r%aI.C@
hilfreichem	h\"Ilf.r%aI.C@m
hilfreichen	h\"Ilf.r%aI.C@n
hilfreicher	h\"Ilf.r%aI.C6
hilfreichere	h\"Ilf.r%aI.C@.r@
hilfreicherem	h\"Ilf.r%aI.C@.r@m
hilfreicheren	h\"Ilf.r%aI.C@.r@n
hilfreicherer	h\"Ilf.r%aI.C@.r6
hilfreicheres	h\"Ilf.r%aI.C@.r@s
hilfreiches	h\"Ilf.r%aI.C@s
hilfreichst	h\"Ilf.r%aICst
hilfreichste	h\"Ilf.r%aICs.t@
hilfreichstem	h\"Ilf.r%aICs.t@m
hilfreichsten	h\"Ilf.r%aICs.t@n
hilfreichster	h\"Ilf.r%aICs.t6
hilfreichstes	h\"Ilf.r%aICs.t@s
hilfsbedürftig	h\"Ilfs.b@.d%Y6f.tIC
hilfsbereit	h\"Ilfs.b@.r%aIt
hilfsbereite	h\"Ilfs.b@.r%aI.t@
hilfsbereitem	h\"Ilfs.b@.r%aI.t@m
hilfsbereiten	h\"Ilfs.b@.r%aI.t@n
hilfsbereiter	h\"Ilfs.b@.r%aI.t6
hilfsbereitere	h\"Ilfs.b@.r%aI.t@.r@
hilfsbereiterem	h\"Ilfs.b@.r%aI.t@.r@m
hilfsbereiteren	h\"Ilfs.b@.r%aI.t@.r@n
hilfsbereiterer	h\"Ilfs.b@.r%aI.t@.r6
hilfsbereiteres	h\"Ilfs.b@.r%aI.t@.r@s
hilfsbereites	h\"Ilfs.b@.r%aI.t@s
hilfsbereitest	h\"Ilfs.b@.r%aI.t@st
hilfsbereiteste	h\"Ilfs.b@.r%aI.t@s.t@
hilfsbereitestem	h\"Ilfs.b@.r%aI.t@s.t@m
hilfsbereitesten	h\"Ilfs.b@.r%aI.t@s.t@n
hilfsbereitester	h\"Ilfs.b@.r%aI.t@s.t6
hilfsbereitestes	h\"Ilfs.b@.r%aI.t@s.t@s
hilfsbereitst	h\"Ilfs.b@.r%aItst
hilfsbereitste	h\"Ilfs.b@.r%aIts.t@
hilfsbereitstem	h\"Ilfs.b@.r%aIts.t@m
hilfsbereitsten	h\"Ilfs.b@.r%aIts.t@n
hilfsbereitster	h\"Ilfs.b@.r%aIts.t6
hilfsbereitstes	h\"Ilfs.b@.r%aIts.t@s
hilft	h\"Ilft
himbeerfarben	h\"Im.be:6.f%a6.b@n
himbeerfarbene	h\"Im.be:6.f%a6.b@.n@
himbeerfarbenem	h\"Im.be:6.f%a6.b@.n@m
himbeerfarbenen	h\"Im.be:6.f%a6.b@.n@n
himbeerfarbener	h\"Im.be:6.f%a6.b@.n6
himbeerfarbenes	h\"Im.be:6.f%a6.b@.n@s
himbeerfarbig	h\"Im.be:6.f%a6.bIC
himbeerfarbige	h\"Im.be:6.f%a6.bI.g@
himbeerfarbigem	h\"Im.be:6.f%a6.bI.g@m
himbeerfarbigen	h\"Im.be:6.f%a6.bI.g@n
himbeerfarbiger	h\"Im.be:6.f%a6.bI.g6
himbeerfarbiges	h\"Im.be:6.f%a6.bI.g@s
himbeerrot	h\"Im.be:6.r%o:t
himmelan	hI.m@l.?\"an
himmeln	h\"I.m@ln
himmelwärts	h\"I.m@l.v%E6ts
himmlisch	h\"Im.lIS
himmlische	h\"Im.lI.S@
himmlischem	h\"Im.lI.S@m
himmlischen	h\"Im.lI.S@n
himmlischer	h\"Im.lI.S6
himmlischere	h\"Im.lI.S@.r@
himmlischerem	h\"Im.lI.S@.r@m
himmlischeren	h\"Im.lI.S@.r@n
himmlischerer	h\"Im.lI.S@.r6
himmlischeres	h\"Im.lI.S@.r@s
himmlisches	h\"Im.lI.S@s
himmlischst	h\"Im.lISst
himmlischste	h\"Im.lISs.t@
himmlischstem	h\"Im.lISs.t@m
himmlischsten	h\"Im.lISs.t@n
himmlischster	h\"Im.lISs.t6
himmlischstes	h\"Im.lISs.t@s
hin	h\"In
hinab	hI.n\"ap
hinabstürzen	hI.n\"ap.St%Y6.ts@n
hinan	hI.n\"an
hinauf	hI.n\"aUf
hinaufliegen	hI.n\"aUf.l%i:.g@n
hinaufschicken	hI.n\"aUf.S%I.k@n
hinaufsetzen	hI.n\"aUf.z%E.ts@n
hinaufspringen	hI.n\"aUf.Spr%I.N@n
hinauftragen	hI.n\"aUf.tr%a:.g@n
hinaus	hI.n\"aUs
hinausbefördern	hI.n\"aUs.b@.f%2:6.d6n
hinausfahre	hI.n\"aUs.f%a:.r@
hinausfahren	hI.n\"aUs.f%a:.r@n
hinausfahrend	hI.n\"aUs.f%a:.r@nt
hinausfahrest	hI.n\"aUs.f%a:.r@st
hinausfahret	hI.n\"aUs.f%a:.r@t
hinausfahrt	hI.n\"aUs.f%a:6t
hinausgucken	hI.n\"aUs.g%U.k@n
hinauslangen	hI.n\"aUs.l%a.N@n
hinausschicken	hI.n\"aUs.S%I.k@n
hinausschlagen	hI.n\"aUs.Sl%a:.g@n
hinaussein	hI.n\"aUs.z%aIn
hinaustragen	hI.n\"aUs.tr%a:.g@n
hinauswachsen	hI.n\"aUs.v%ak.s@n
hinausweisen	hI.n\"aUs.v%aI.z@n
hindere	h\"In.d@.r@
hinderlich	h\"In.d6.lIC
hinderliche	h\"In.d6.lI.C@
hinderlichem	h\"In.d6.lI.C@m
hinderlichen	h\"In.d6.lI.C@n
hinderlicher	h\"In.d6.lI.C6
hinderlichere	h\"In.d6.lI.C@.r@
hinderlicherem	h\"In.d6.lI.C@.r@m
hinderlicheren	h\"In.d6.lI.C@.r@n
hinderlicherer	h\"In.d6.lI.C@.r6
hinderlicheres	h\"In.d6.lI.C@.r@s
hinderliches	h\"In.d6.lI.C@s
hinderlichst	h\"In.d6.lICst
hinderlichste	h\"In.d6.lICs.t@
hinderlichstem	h\"In.d6.lICs.t@m
hinderlichsten	h\"In.d6.lICs.t@n
hinderlichster	h\"In.d6.lICs.t6
hinderlichstes	h\"In.d6.lICs.t@s
hindern	h\"In.d6n
hindernd	h\"In.d6nt
hinderst	h\"In.d6st
hindert	h\"In.d6t
hinderte	h\"In.d6.t@
hinderten	h\"In.d6.t@n
hindertest	h\"In.d6.t@st
hindertet	h\"In.d6.t@t
hinduistisch	h\"In.du:.?%Is.tIS
hinduistische	h\"In.du:.?%Is.tI.S@
hinduistischem	h\"In.du:.?%Is.tI.S@m
hinduistischen	h\"In.du:.?%Is.tI.S@n
hinduistischer	h\"In.du:.?%Is.tI.S6
hinduistisches	h\"In.du:.?%Is.tI.S@s
hindurch	hIn.d\"U6C
hindurchschimmern	hIn.d\"U6C.S%I.m6n
hinein	hI.n\"aIn
hineingucken	h\"I.n%aIn.g%u:.k@n
hineininterpretieren	hI.n\"aIn.?In.t6.pre:.t%i:.r@n
hineinknien	hI.n\"aIn.kn%i:n
hineinkommen	hI.n\"aIn.k%O.m@n
hineinlangen	hI.n\"aIn.l%a.N@n
hineinschreiben	hI.n\"aIn.Sr%aI.b@n
hineinsehen	hI.n\"aIn.z%e:.@n
hineintragen	hI.n\"aIn.tr%a:.g@n
hinfort	hIn.f\"O6t
hing	h\"IN
hinge	h\"I.N@
hingegen	hIn.g\"e:.g@n
hingegossen	h\"In.g@.g%O.s@n
hingen	h\"I.N@n
hingest	h\"I.N@st
hinget	h\"I.N@t
hingst	h\"INst
hingt	h\"INt
hinke	h\"IN.k@
hinken	h\"IN.k@n
hinkend	h\"IN.k@nt
hinkest	h\"IN.k@st
hinket	h\"IN.k@t
hinknien	h\"In.kni:n
hinkst	h\"INkst
hinkt	h\"INkt
hinkte	h\"INk.t@
hinkten	h\"INk.t@n
hinktest	h\"INk.t@st
hinktet	h\"INk.t@t
hinlangen	h\"In.la.N@n
hinnen	h\"I.n@n
hinsein	h\"In.zaIn
hinsichtlich	h\"In.zICt.lIC
hintansetzen	hInt.?\"an.zE.ts@n
hintanstehen	hInt.?\"an.Ste:.@n
hintanstellen	hInt.?\"an.StE.l@n
hinten	h\"In.t@n
hintenan	hIn.t@n.?\"an
hintendrauf	hIn.t@n.dr\"aUf
hintendrein	hIn.t@n.dr\"aIn
hintenheraus	h\"In.t@n.hE.r%aUs
hintenhingehen	hIn.t@n.h\"In.g%e:.@n
hintennach	hIn.t@n.n\"a:x
hintenraus	h\"In.t@n.r%aUs
hintenrum	h\"In.t@n.r%Um
hintensein	h\"In.t@n.z%aIn
hintenüber	hIn.t@n.?\"y:.b6
hintenüberkippen	hIn.t@n.?\"y:.b6.k%I.p@n
